"","call_num_grp","Outcome.FINAL","n","totalcomp","totalnums","perc","perccompletedpercallnum","perccum","country","Calls"
"1","1","COMP",7478,11884,47892,15.61,62.9,15.61,"DRC",47892
"2","2","COMP",2298,11884,47892,4.8,19.3,20.41,"DRC",27160
"3","3","COMP",1004,11884,47892,2.1,8.4,22.51,"DRC",20964
"4","4","COMP",605,11884,47892,1.26,5.1,23.77,"DRC",17704
"5","5","COMP",377,11884,47892,0.79,3.2,24.56,"DRC",15627
"6","5+","COMP",122,11884,47892,0.25,1,24.81,"DRC",6621
"7","1","COMP",5466,9994,57191,9.56,54.7,9.56,"MW",42301
"8","2","COMP",2537,9994,57191,4.44,25.4,14,"MW",23216
"9","3","COMP",1037,9994,57191,1.81,10.4,15.81,"MW",14801
"10","4","COMP",544,9994,57191,0.95,5.4,16.76,"MW",11170
"11","5","COMP",301,9994,57191,0.53,3,17.29,"MW",9048
"12","5+","COMP",109,9994,57191,0.19,1.1,17.48,"MW",3134
"13","1","COMP",7044,8729,38303,18.39,80.7,18.39,"BF-RDD",38161
"14","2","COMP",1316,8729,38303,3.44,15.1,21.83,"BF-RDD",9628
"15","3","COMP",263,8729,38303,0.69,3,22.52,"BF-RDD",2960
"16","4","COMP",64,8729,38303,0.17,0.7,22.69,"BF-RDD",1111
"17","5","COMP",25,8729,38303,0.07,0.3,22.76,"BF-RDD",534
"18","5+","COMP",17,8729,38303,0.04,0.2,22.8,"BF-RDD",522
